De Kommunale Nøgletal;;;;;;
;;;;;;
;Kom.nr;2019;2020;2021;2022;2023
;;;;;;
Langfristet gæld ultimo året pr. indb.;;;;;;
Brøndby Kommune;153;0;0;-;-;M
Dragør Kommune;155;9.090;11.759;11.214;10.656;M
Gentofte Kommune;157;17.285;17.381;18.529;18.891;M
Gladsaxe Kommune;159;10.229;10.288;10.304;9.197;M
Glostrup Kommune;161;4.276;4.528;5.336;5.411;M
Herlev Kommune;163;10.413;10.763;11.712;11.861;M
Albertslund Kommune;165;16.835;17.518;18.872;19.727;M
Hvidovre Kommune;167;4.941;5.519;5.828;6.175;M
Høje-Taastrup Kommune;169;7.360;7.321;7.079;6.752;M
Lyngby-Taarbæk Kommune;173;2.679;3.232;3.089;3.185;M
Rødovre Kommune;175;11.395;13.705;13.970;13.362;M
Ishøj Kommune;183;16.465;14.816;13.709;12.093;M
Tårnby Kommune;185;-;-;-;-;M
Vallensbæk Kommune;187;19.667;19.641;18.453;17.157;M
Furesø Kommune;190;61.155;60.791;58.626;56.275;M
Allerød Kommune;201;8.568;9.335;9.188;10.357;M
Fredensborg Kommune;210;9.924;8.424;7.021;5.478;M
Helsingør Kommune;217;9.130;8.348;8.026;8.386;M
Hillerød Kommune;219;10.154;10.556;10.582;9.013;M
Hørsholm Kommune;223;10.232;15.563;13.268;14.365;M
Rudersdal Kommune;230;6.224;7.150;9.230;10.506;M
Egedal Kommune;240;22.223;21.694;11.811;12.277;M
Frederikssund Kommune;250;11.732;10.949;8.665;8.216;M
Halsnæs Kommune;260;19.119;19.756;20.942;20.694;M
Gribskov Kommune;270;15.695;16.058;15.288;14.921;M
Bornholms Kommune;400;6.980;7.716;7.783;7.967;M
Greve Kommune;253;9.838;9.902;9.300;8.727;M
Køge Kommune;259;13.922;14.071;13.755;13.816;M
Roskilde Kommune;265;9.511;10.072;10.334;10.512;M
Solrød Kommune;269;6.973;6.438;5.903;5.297;M
Odsherred Kommune;306;15.369;16.076;16.129;16.042;M
Holbæk Kommune;316;15.835;15.301;14.024;13.705;M
Faxe Kommune;320;7.074;6.672;6.047;5.584;M
Kalundborg Kommune;326;6.810;5.899;4.975;4.031;M
Ringsted Kommune;329;8.861;9.155;9.734;8.887;M
Slagelse Kommune;330;9.581;10.645;9.623;9.916;M
Stevns Kommune;336;8.498;8.085;7.230;6.705;M
Sorø Kommune;340;17.527;16.290;14.953;13.839;M
Lejre Kommune;350;10.299;13.401;12.669;14.036;M
Lolland Kommune;360;23.646;24.597;25.308;23.501;M
Næstved Kommune;370;11.082;10.589;8.980;7.867;M
Guldborgsund Kommune;376;22.736;21.964;20.736;19.770;M
Vordingborg Kommune;390;13.903;15.021;14.627;14.941;M
Middelfart Kommune;410;7.414;8.372;8.737;8.100;M
Assens Kommune;420;16.100;15.109;13.824;13.348;M
Faaborg-Midtfyn Kommune;430;8.883;8.602;8.218;8.133;M
Kerteminde Kommune;440;16.034;15.268;14.971;16.249;M
Nyborg Kommune;450;60;53;49;47;M
Odense Kommune;461;4.695;4.522;4.773;4.765;M
Svendborg Kommune;479;18.667;18.694;19.487;19.021;M
Nordfyns Kommune;480;2.494;2.176;1.819;1.471;M
Langeland Kommune;482;12.441;11.492;10.404;9.372;M
Ærø Kommune;492;44.092;46.033;50.397;49.660;M
Haderslev Kommune;510;9.943;10.673;10.720;9.831;M
Billund Kommune;530;12;8;6;21;M
Sønderborg Kommune;540;11.055;10.225;10.262;12.759;M
Tønder Kommune;550;7.985;8.284;8.316;8.413;M
Esbjerg Kommune;561;8.599;9.782;9.555;10.359;M
Fanø Kommune;563;15.212;18.269;19.411;19.928;M
Varde Kommune;573;8.731;8.569;8.905;9.287;M
Vejen Kommune;575;9.211;9.900;9.540;9.797;M
Aabenraa Kommune;580;10.229;10.487;10.539;10.358;M
Fredericia Kommune;607;14.666;20.321;21.345;19.876;M
Kolding Kommune;621;9.914;11.220;11.577;10.824;M
Vejle Kommune;630;6.819;6.411;5.914;5.885;M
Horsens Kommune;615;11.716;11.449;11.111;10.440;M
Herning Kommune;657;3.480;4.643;4.549;4.588;M
Holstebro Kommune;661;10.431;11.423;11.176;12.387;M
Lemvig Kommune;665;10.338;10.567;11.149;12.667;M
